iter	Passed	Remaining
1259	7822	1489
1260	7827	1483
1261	7832	1477
1262	7838	1470
1263	7844	1464
1264	7849	1458
1265	7855	1452
1266	7861	1445
1267	7867	1439
1268	7872	1433
1269	7878	1426
1270	7884	1420
1271	7890	1414
1272	7897	1408
1273	7903	1402
1274	7910	1395
1275	7916	1389
1276	7922	1383
1277	7929	1377
1278	7935	1371
1279	7942	1365
1280	7948	1358
1281	7955	1352
1282	7961	1346
1283	7968	1340
1284	7974	1334
1285	7981	1328
1286	7987	1321
1287	7992	1315
1288	7998	1309
1289	8004	1303
1290	8010	1296
1291	8015	1290
1292	8021	1284
1293	8027	1277
1294	8033	1271
1295	8039	1265
1296	8045	1259
1297	8050	1252
1298	8056	1246
1299	8061	1240
1300	8067	1233
1301	8073	1227
1302	8078	1221
1303	8084	1215
1304	8090	1208
1305	8095	1202
1306	8101	1196
1307	8107	1190
1308	8113	1183
1309	8120	1177
1310	8127	1171
1311	8133	1165
1312	8139	1159
1313	8146	1153
1314	8152	1146
1315	8159	1140
1316	8165	1134
1317	8172	1128
1318	8178	1122
1319	8184	1116
1320	8189	1109
1321	8195	1103
1322	8201	1097
1323	8206	1090
1324	8212	1084
1325	8219	1078
1326	8225	1072
1327	8230	1066
1328	8237	1059
1329	8242	1053
1330	8248	1047
1331	8254	1041
1332	8260	1034
1333	8266	1028
1334	8272	1022
1335	8278	1016
1336	8283	1009
1337	8289	1003
1338	8295	997
1339	8305	991
1340	8317	986
1341	8328	980
1342	8338	974
1343	8344	968
1344	8349	962
1345	8355	956
1346	8361	949
1347	8367	943
1348	8373	937
1349	8379	931
1350	8385	924
1351	8390	918
1352	8396	912
1353	8402	906
1354	8408	899
1355	8413	893
1356	8419	887
1357	8425	881
1358	8431	874
1359	8437	868
1360	8443	862
1361	8448	856
1362	8454	849
1363	8460	843
1364	8466	837
1365	8472	831
1366	8478	824
1367	8484	818
1368	8489	812
1369	8496	806
1370	8502	800
1371	8509	793
1372	8515	787
1373	8522	781
1374	8528	775
1375	8535	769
1376	8542	763
1377	8549	756
1378	8555	750
1379	8562	744
1380	8569	738
1381	8576	732
1382	8583	726
1383	8590	719
1384	8596	713
1385	8601	707
1386	8609	701
1387	8615	695
1388	8621	688
1389	8627	682
1390	8633	676
1391	8639	670
1392	8644	664
1393	8650	657
1394	8656	651
1395	8662	645
1396	8667	639
1397	8673	632
1398	8679	626
1399	8685	620
1400	8691	614
1401	8697	607
1402	8702	601
1403	8708	595
1404	8714	589
1405	8719	582
1406	8726	576
1407	8732	570
1408	8737	564
1409	8743	558
1410	8749	551
1411	8754	545
1412	8760	539
1413	8766	533
1414	8772	526
1415	8778	520
1416	8784	514
1417	8789	508
1418	8795	502
1419	8801	495
1420	8807	489
1421	8812	483
1422	8818	477
1423	8824	470
1424	8830	464
1425	8835	458
1426	8841	452
1427	8847	446
1428	8853	439
1429	8859	433
1430	8864	427
1431	8870	421
1432	8876	415
1433	8882	408
1434	8887	402
1435	8893	396
1436	8899	390
1437	8905	383
1438	8910	377
1439	8916	371
1440	8922	365
1441	8928	359
1442	8934	352
1443	8940	346
1444	8945	340
1445	8951	334
1446	8957	328
1447	8963	321
1448	8969	315
1449	8974	309
1450	8980	303
1451	8986	297
1452	8992	290
1453	8999	284
1454	9006	278
1455	9013	272
1456	9019	266
1457	9026	260
1458	9033	253
1459	9039	247
1460	9046	241
1461	9053	235
1462	9059	229
1463	9065	222
1464	9071	216
1465	9077	210
1466	9082	204
1467	9088	198
1468	9094	191
1469	9100	185
1470	9106	179
1471	9112	173
1472	9118	167
1473	9124	160
1474	9129	154
1475	9135	148
1476	9141	142
1477	9146	136
1478	9152	129
1479	9158	123
1480	9164	117
1481	9170	111
1482	9176	105
1483	9181	98
1484	9187	92
1485	9193	86
1486	9199	80
1487	9204	74
1488	9210	68
1489	9216	61
1490	9221	55
1491	9227	49
1492	9233	43
1493	9239	37
1494	9245	30
1495	9251	24
1496	9256	18
1497	9262	12
1498	9267	6
1499	9273	0
